Created Date,Gift Name,User ID,Product,Price,Has Relationship (Yes / No),Occasion,Use Case,Missing Value Check
01-02-2021,Chocolate Drop Shortbread Rounds in Tin,38981144,GC,9.99,No,Just Because,Just Because / Miss you / Love,0
01-02-2021,The Captains Kentish Apple &amp; Hazelnut Cookies,39575730,GC,6.99,No,Special Occasions,Congratulations,0
01-02-2021,Demerara Shortbread Rounds Tin,45439142,PC,9.99,No,Just Because,Just Because / Miss you / Love,0
01-02-2021,Chocolate Drop Shortbread Rounds in Tin,38609667,PC,9.99,No,Special Occasions,New Baby / Pregnancy,0
01-02-2021,Demerara Shortbread Rounds Tin,45880288,PC,9.99,No,Special Occasions,Congratulations,0
01-02-2021,Happy Birthday Music Box in a Matchbox,39475400,GC,5.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Belgian Chocolates Selection,42958906,PC,13.99,No,Just Because,Just Because / Miss you / Love,0
01-02-2021,Bonsai Trees Growing Kit,45949510,GC,12.99,No,Special Occasions,Happy Birthday,1
01-02-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,38442917,GC,8.49,No,Just Because,Just Because / Miss you / Love,0
01-02-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,42166196,GC,8.49,No,Special Occasions,Happy Birthday,0
01-02-2021,Bonsai Trees Growing Kit,43686336,GC,12.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Belgian Chocolates Selection,45035550,PC,13.99,No,Special Occasions,Happy Birthday,0
01-02-2021,The Captains Kentish Apple &amp; Hazelnut Cookies,40240104,PC,6.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Chocolate Drop Shortbread Rounds in Tin,45949140,GC,9.99,Yes,Special Occasions,Anniversary,0
01-02-2021,Belgian Chocolates Selection,42436816,PC,13.99,No,Just Because,Thank You,0
